#1	46.40	51.74	46.97	46.77	47.62
#4	22.69	23.07	23.55	23.68	25.17
"no throttle"	46.40
"500 MB/s"		47.07
"400 MB/s"		47.73
"300 MB/s"		52.72
"200 MB/s"		66.28
"100 MB/s"		116.55
