1	.924	1.001	1.237	1.268	1.415
4	.905	.885	1.009	1.108	1.251
#Acutal 1	924235087	1001173234	1237865383	1268142647	1415040689
#Acutal	4	905088597	885062575	1009437498	1108062512	1251636307
