---------- processing video for epoch 6 ----------
performing inference...
pred: 1.79 deg. took: 62.56 ms | cam=1.97 prep=3.12 pred=57.48 frequency(45)=1200000000
 
pred: 0.82 deg. took: 63.04 ms | cam=2.03 prep=3.11 pred=57.89 frequency(45)=1200000000
 
pred: 0.87 deg. took: 63.03 ms | cam=2.12 prep=3.00 pred=57.91 frequency(45)=1200000000
 
pred: 0.69 deg. took: 62.96 ms | cam=2.04 prep=3.01 pred=57.91 frequency(45)=1200000000
 
pred: 0.67 deg. took: 62.52 ms | cam=1.95 prep=3.01 pred=57.55 frequency(45)=1200000000
 
pred: 0.60 deg. took: 62.57 ms | cam=2.04 prep=3.12 pred=57.42 frequency(45)=1200000000
 
pred: 0.37 deg. took: 62.87 ms | cam=2.05 prep=3.11 pred=57.71 frequency(45)=1200000000
 
pred: 0.37 deg. took: 62.56 ms | cam=2.10 prep=3.01 pred=57.45 frequency(45)=1200000000
 
pred: 0.37 deg. took: 62.62 ms | cam=2.02 prep=3.03 pred=57.57 frequency(45)=1200000000
 
pred: 0.48 deg. took: 62.37 ms | cam=1.99 prep=3.08 pred=57.30 frequency(45)=1200000000
 
pred: 0.44 deg. took: 62.59 ms | cam=1.96 prep=3.01 pred=57.62 frequency(45)=1200000000
 
pred: -0.13 deg. took: 62.69 ms | cam=2.05 prep=3.16 pred=57.48 frequency(45)=1200000000
 
pred: 0.14 deg. took: 62.68 ms | cam=1.99 prep=3.12 pred=57.57 frequency(45)=1200000000
 
pred: 0.39 deg. took: 62.92 ms | cam=2.06 prep=3.06 pred=57.80 frequency(45)=1200002000
 
pred: 1.00 deg. took: 62.33 ms | cam=2.00 prep=3.03 pred=57.30 frequency(45)=1200000000
 
pred: 0.70 deg. took: 62.46 ms | cam=1.97 prep=3.05 pred=57.44 frequency(45)=1200000000
 
pred: 0.62 deg. took: 62.74 ms | cam=2.08 prep=3.02 pred=57.64 frequency(45)=1200000000
 
pred: 0.15 deg. took: 62.57 ms | cam=1.97 prep=3.16 pred=57.44 frequency(45)=1200002000
 
pred: -0.38 deg. took: 62.52 ms | cam=2.10 prep=3.02 pred=57.39 frequency(45)=1200000000
 
pred: 0.09 deg. took: 62.38 ms | cam=1.97 prep=3.06 pred=57.36 frequency(45)=1200000000
 
pred: -0.27 deg. took: 62.57 ms | cam=2.03 prep=3.02 pred=57.52 frequency(45)=1200000000
 
pred: 0.68 deg. took: 62.63 ms | cam=2.03 prep=3.02 pred=57.58 frequency(45)=1200000000
 
pred: 0.96 deg. took: 62.69 ms | cam=2.01 prep=3.16 pred=57.52 frequency(45)=1200002000
 
pred: 1.07 deg. took: 62.57 ms | cam=2.02 prep=3.12 pred=57.43 frequency(45)=1200000000
 
pred: 1.00 deg. took: 62.65 ms | cam=2.13 prep=3.05 pred=57.47 frequency(45)=1200000000
 
pred: 0.25 deg. took: 63.10 ms | cam=2.07 prep=3.01 pred=58.02 frequency(45)=1200000000
 
pred: 0.44 deg. took: 62.37 ms | cam=1.96 prep=3.06 pred=57.35 frequency(45)=1200002000
 
pred: 0.87 deg. took: 62.44 ms | cam=1.97 prep=3.00 pred=57.47 frequency(45)=1200000000
 
pred: 1.15 deg. took: 62.76 ms | cam=1.99 prep=3.17 pred=57.60 frequency(45)=1200000000
 
pred: 0.94 deg. took: 62.58 ms | cam=2.00 prep=3.10 pred=57.48 frequency(45)=1200000000
 
pred: 1.23 deg. took: 62.53 ms | cam=2.13 prep=3.06 pred=57.34 frequency(45)=1200000000
 
pred: 1.51 deg. took: 62.49 ms | cam=1.98 prep=3.02 pred=57.49 frequency(45)=1200000000
 
pred: 0.66 deg. took: 62.56 ms | cam=1.98 prep=3.07 pred=57.51 frequency(45)=1200000000
 
pred: 0.37 deg. took: 62.44 ms | cam=2.00 prep=3.01 pred=57.43 frequency(45)=1200000000
 
pred: 0.45 deg. took: 62.29 ms | cam=1.90 prep=3.16 pred=57.24 frequency(45)=1200000000
 
pred: -0.06 deg. took: 62.94 ms | cam=2.19 prep=3.03 pred=57.71 frequency(45)=1200000000
 
pred: -0.31 deg. took: 62.61 ms | cam=2.05 prep=3.02 pred=57.54 frequency(45)=1200000000
 
