---------- processing video for epoch 6 ----------
performing inference...
pred: 1.80890303092 deg. took 163.938999176 ms
pred: 1.80583200711 deg. took 55.3998947144 ms
pred: 1.81532511629 deg. took 96.3599681854 ms
pred: 1.77102952525 deg. took 97.9790687561 ms
pred: 1.66277732348 deg. took 98.0019569397 ms
pred: 1.73614476095 deg. took 97.7799892426 ms
pred: 1.77952499992 deg. took 96.0371494293 ms
pred: 1.68895530414 deg. took 96.2700843811 ms
pred: 1.66670820407 deg. took 98.1538295746 ms
pred: 1.72119091554 deg. took 100.008964539 ms
pred: 1.81412342988 deg. took 98.0920791626 ms
pred: 1.81213285662 deg. took 98.8490581512 ms
pred: 1.73854760016 deg. took 97.9471206665 ms
pred: 1.83794456838 deg. took 96.0540771484 ms
pred: 1.73862273224 deg. took 98.1528759003 ms
pred: 1.84733778604 deg. took 97.9380607605 ms
pred: 1.8171842084 deg. took 96.2541103363 ms
pred: 1.7812271044 deg. took 98.4840393066 ms
pred: 1.85829661112 deg. took 98.4239578247 ms
pred: 1.82789394502 deg. took 96.0471630096 ms
pred: 1.73692575039 deg. took 98.9751815796 ms
pred: 1.76004316597 deg. took 95.8261489868 ms
pred: 1.80929832812 deg. took 98.1860160828 ms
pred: 1.75257093902 deg. took 98.3939170837 ms
pred: 1.79054540342 deg. took 97.9351997375 ms
pred: 1.70333648088 deg. took 96.2591171265 ms
pred: 1.67322025584 deg. took 98.4630584717 ms
pred: 1.63772344256 deg. took 97.8600978851 ms
pred: 1.64478617832 deg. took 96.8120098114 ms
pred: 1.68516967179 deg. took 98.6800193787 ms
pred: 1.70002458618 deg. took 98.9570617676 ms
pred: 1.7579340249 deg. took 96.039056778 ms
pred: 1.67800885878 deg. took 99.21002388 ms
pred: 1.66169676621 deg. took 56.1459064484 ms
pred: 1.7812723544 deg. took 59.5459938049 ms
pred: 1.67237768797 deg. took 99.3311405182 ms
pred: 3.27531390987 deg. took 96.174955368 ms
pred: 3.4247603699 deg. took 101.850986481 ms
pred: 1.09570396257 deg. took 99.74193573 ms
pred: 0.747654331138 deg. took 99.2090702057 ms
pred: 1.12943677278 deg. took 99.6220111847 ms
pred: 0.662687471555 deg. took 95.8278179169 ms
