---------- processing video for epoch 6 ----------
performing inference...
pred: 1.80890559224 deg. took 160.575866699 ms
pred: 1.80583286089 deg. took 57.8911304474 ms
pred: 1.81532511629 deg. took 57.1360588074 ms
pred: 1.77102867147 deg. took 57.5380325317 ms
pred: 1.66277817726 deg. took 58.5761070251 ms
pred: 1.73614476095 deg. took 57.3470592499 ms
pred: 1.77952499992 deg. took 59.1928958893 ms
pred: 1.68895701169 deg. took 60.5928897858 ms
pred: 1.66670820407 deg. took 76.6570568085 ms
pred: 1.72119176931 deg. took 57.580947876 ms
pred: 1.81412342988 deg. took 68.717956543 ms
pred: 1.81213114907 deg. took 57.8649044037 ms
pred: 1.73854589261 deg. took 56.1912059784 ms
pred: 1.83794456838 deg. took 58.4239959717 ms
pred: 1.73862443978 deg. took 56.2279224396 ms
pred: 1.84733693226 deg. took 57.7909946442 ms
pred: 1.81718676972 deg. took 55.9000968933 ms
pred: 1.7812271044 deg. took 57.2509765625 ms
pred: 1.85829575734 deg. took 61.4869594574 ms
pred: 1.82789309124 deg. took 59.3299865723 ms
pred: 1.73692148152 deg. took 60.9810352325 ms
pred: 1.76004060465 deg. took 63.7309551239 ms
pred: 1.80929918189 deg. took 61.3338947296 ms
pred: 1.75257776921 deg. took 77.0080089569 ms
pred: 1.79054711097 deg. took 71.4340209961 ms
pred: 1.70333648088 deg. took 56.3490390778 ms
pred: 1.67321854829 deg. took 57.6589107513 ms
pred: 1.63772429633 deg. took 58.6450099945 ms
pred: 1.64478447078 deg. took 64.3148422241 ms
pred: 1.68516711047 deg. took 72.8831291199 ms
pred: 1.70002543996 deg. took 74.2228031158 ms
pred: 1.7579340249 deg. took 62.9260540009 ms
pred: 1.678008005 deg. took 61.007976532 ms
pred: 1.66169505867 deg. took 57.3420524597 ms
pred: 1.78127064686 deg. took 58.7241649628 ms
pred: 1.67237939552 deg. took 57.3599338531 ms
pred: 3.27531476364 deg. took 58.8660240173 ms
pred: 3.42476293122 deg. took 77.0020484924 ms
pred: 1.0957031088 deg. took 61.7380142212 ms
pred: 0.747654331138 deg. took 58.5861206055 ms
pred: 1.12943335769 deg. took 59.92603302 ms
pred: 0.662690886649 deg. took 72.9830265045 ms
pred: 1.33933659682 deg. took 59.2770576477 ms
pred: 2.00132376055 deg. took 56.8239688873 ms
pred: 4.7072067203 deg. took 57.3019981384 ms
pred: 13.8124234736 deg. took 57.8169822693 ms
pred: 13.1525085252 deg. took 59.4639778137 ms
pred: 7.24882939349 deg. took 62.2069835663 ms
pred: 0.237071250377 deg. took 58.3879947662 ms
pred: 4.19574636044 deg. took 59.0989589691 ms
pred: 7.1898379034 deg. took 62.7610683441 ms
pred: 0.696346270258 deg. took 66.5872097015 ms
pred: 2.9715179812 deg. took 76.3120651245 ms
pred: 4.42966881357 deg. took 71.2890625 ms
pred: -0.560035171136 deg. took 73.3308792114 ms
pred: -0.444013869315 deg. took 62.2591972351 ms
pred: 2.06841414744 deg. took 73.3571052551 ms
pred: -0.340450619097 deg. took 75.6330490112 ms
pred: -0.35161362948 deg. took 60.2350234985 ms
pred: -0.168324769391 deg. took 57.7390193939 ms
pred: -0.444885545528 deg. took 58.2830905914 ms
pred: -0.0509984578765 deg. took 73.8270282745 ms
pred: -0.0680927104867 deg. took 74.1059780121 ms
pred: 0.0887932929735 deg. took 64.159154892 ms
pred: -0.669248455222 deg. took 77.9759883881 ms
pred: 0.30743289768 deg. took 58.2048892975 ms
pred: -0.319029625075 deg. took 71.3081359863 ms
pred: -0.844000606045 deg. took 71.8958377838 ms
pred: -0.103434650563 deg. took 69.8051452637 ms
pred: -0.71948780494 deg. took 56.0388565063 ms
pred: -2.03938413592 deg. took 56.4618110657 ms
pred: -2.36025553752 deg. took 57.12890625 ms
pred: -2.41509512636 deg. took 61.4528656006 ms
pred: -2.51793408304 deg. took 59.9398612976 ms
pred: -4.10119989374 deg. took 74.8310089111 ms
pred: -6.55360492844 deg. took 61.8350505829 ms
pred: -3.78771256697 deg. took 59.2629909515 ms
pred: -5.14911099498 deg. took 69.9200630188 ms
pred: -5.45831963512 deg. took 79.7030925751 ms
pred: -4.71196693527 deg. took 71.9010829926 ms
pred: -5.22083822655 deg. took 67.9180622101 ms
pred: -6.22071346113 deg. took 66.9450759888 ms
pred: -4.98955137266 deg. took 61.2230300903 ms
pred: -6.79627941522 deg. took 58.2718849182 ms
pred: -8.74963198246 deg. took 61.5711212158 ms
pred: -9.82451251252 deg. took 64.0699863434 ms
pred: -10.4950782871 deg. took 60.4619979858 ms
pred: -6.94474979853 deg. took 58.3620071411 ms
pred: -5.64743988927 deg. took 57.471036911 ms
pred: -3.30962344417 deg. took 56.6608905792 ms
pred: -0.127409441643 deg. took 57.256937027 ms
pred: 0.352293206622 deg. took 57.1360588074 ms
pred: -0.447730265956 deg. took 56.1919212341 ms
pred: -0.356082227384 deg. took 58.5150718689 ms
pred: 14.1711859899 deg. took 56.2350749969 ms
pred: 28.5744003362 deg. took 58.336019516 ms
pred: 1.43116699611 deg. took 57.1758747101 ms
pred: -0.256509888714 deg. took 58.2571029663 ms
pred: -1.07878793188 deg. took 56.2710762024 ms
pred: -0.98076735349 deg. took 60.28008461 ms
pred: -0.714838313745 deg. took 69.030046463 ms
pred: -0.989410317554 deg. took 80.6589126587 ms
pred: -0.741851498469 deg. took 57.1010112762 ms
pred: -0.460351441686 deg. took 57.4729442596 ms
pred: 0.382410632283 deg. took 58.9261054993 ms
pred: 0.912393211195 deg. took 59.3919754028 ms
pred: 0.211783435471 deg. took 59.5300197601 ms
pred: 0.35640922269 deg. took 58.7539672852 ms
pred: 0.140947717011 deg. took 66.5988922119 ms
pred: 0.384495520846 deg. took 64.2399787903 ms
pred: -0.407795563942 deg. took 60.6999397278 ms
pred: -0.353957211459 deg. took 63.5991096497 ms
pred: 0.0608475873246 deg. took 58.4609508514 ms
pred: -1.74866161621 deg. took 58.7151050568 ms
pred: -5.41062442415 deg. took 57.6400756836 ms
pred: -5.01731950673 deg. took 61.1870288849 ms
pred: -7.97627783727 deg. took 57.2381019592 ms
pred: -5.99626234594 deg. took 61.1639022827 ms
pred: -4.12654800641 deg. took 66.8959617615 ms
pred: -6.51073140413 deg. took 63.9550685883 ms
pred: 1.15853135093 deg. took 57.9018592834 ms
pred: 1.66449735722 deg. took 57.4579238892 ms
pred: -1.04577026382 deg. took 57.648897171 ms
pred: 12.0218586468 deg. took 58.1829547882 ms
pred: 24.4976260527 deg. took 57.2948455811 ms
pred: 27.72712903 deg. took 58.8788986206 ms
pred: 29.6404904128 deg. took 58.5830211639 ms
pred: 29.9757229274 deg. took 60.4071617126 ms
pred: 29.4935286475 deg. took 61.7079734802 ms
pred: 28.7581563305 deg. took 60.3828430176 ms
pred: 29.0581621445 deg. took 61.3350868225 ms
pred: 28.7173971766 deg. took 58.3629608154 ms
pred: 28.2759108242 deg. took 57.177066803 ms
pred: 28.6133631503 deg. took 60.3270530701 ms
pred: 29.6235139776 deg. took 58.4449768066 ms
pred: 29.0397821055 deg. took 69.5631504059 ms
pred: 26.3768603952 deg. took 68.5119628906 ms
pred: 29.399705754 deg. took 68.6621665955 ms
pred: 29.6335646009 deg. took 74.8901367188 ms
pred: 25.3181913192 deg. took 57.0380687714 ms
pred: 15.0231547587 deg. took 69.3778991699 ms
pred: 3.16923957795 deg. took 71.713924408 ms
pred: -0.539031112139 deg. took 77.6238441467 ms
pred: 0.533235856711 deg. took 74.2328166962 ms
pred: -0.201895909554 deg. took 61.2230300903 ms
pred: -0.701790624718 deg. took 73.1909275055 ms
pred: -0.758730710177 deg. took 73.7550258636 ms
pred: -0.274533797438 deg. took 63.2348060608 ms
pred: 0.176590992494 deg. took 63.873052597 ms
pred: 0.874038070467 deg. took 64.6181106567 ms
pred: 1.08231711197 deg. took 55.9720993042 ms
