1,1000,65.689867496490479,86.984157562255859,86.982687990665426,86.969461846351621,86.837200403213515,67.506027221679688,61.258077621459961,65.554499626159668,1.3880958156571817,0,0,3,0,997,0,0
2,1000,51.166593551635742,70.528030395507812,70.527892251014705,70.526648950576785,70.51421594619751,69.315714836120605,47.007083892822266,50.701498985290527,3.2324479386755005,0,0,0,6,25,846,123
3,1000,48.989951610565186,92.569112777709961,92.569081814289092,92.568803143501285,92.566016435623183,81.136589050292969,41.641950607299805,45.618534088134766,9.4393361862934935,0,4,13,67,3,146,767
4,1000,68.097373247146606,111.07802391052246,110.9965853500365,110.26363830566368,102.93416786193922,87.816131114959717,38.778066635131836,72.165489196777344,12.483822139231316,2,4,60,523,208,11,192
1,1000,73.120419025421143,134.65499877929688,134.64877513170239,134.59276230335232,134.03263401985174,132.63333082199097,71.31505012512207,71.769952774047852,8.7218189804156268,21,1,2,976,0,0,0
2,1000,59.117978572845459,107.30195045471191,107.05642481803854,104.84669408798101,82.749386787416768,80.155274868011475,52.08897590637207,57.854533195495605,5.8891860619260603,1,0,11,81,96,811,0

2,701,87.965468367224247,128.70287895202637,128.69291043281547,128.60319375991816,127.70602703094492,124.20511245727539,44.070959091186523,84.402084350585938,14.327155167806144,137,97,285,146,12,12,12
2,701,88.910050126863439,132.81583786010742,132.78781819343541,132.53564119338969,130.01387119293241,121.21486663818359,45.477151870727539,86.628913879394531,12.606409007108034,120,149,349,52,5,11,15

1,701,113.67995218611648,149.41310882568359,149.40924525260922,149.37447309494016,149.02675151824954,146.77119255065918,66.812038421630859,114.92395401000977,10.587299922593305,661,6,10,10,14,0,0
1,701,115.38027084502956,146.5451717376709,146.41109156608462,145.2043700218191,133.13715457916391,121.72818183898926,67.830085754394531,117.46597290039062,9.4092788318085638,660,8,11,16,6,0,0
1,701,117.2288797381261,188.76004219055176,188.62877082824591,187.44732856750394,175.63290596008429,125.57816505432129,68.877935409545898,119.08316612243652,10.006182568088354,665,5,10,16,5,0,0
1,701,114.84617513528734,158.46896171569824,158.43816161155672,158.16096067428566,155.38895130157499,149.18708801269531,66.708087921142578,115.95010757446289,10.764738194602272,658,12,6,14,11,0,0
